City,State,Population over 16 Years,Labor Force,Civilian Labor Force,Employed,Unemployed,Armed Forces,Not In Labor Force,Female Population,Female Labor Force,Female Civilian Labor Force,Female Employed,Have Children Under 6 Years,Have Children Under 6 Years And All Parents in Labor Force,Have Children Between 6 And 17 Years,Have Children Between 6 And 17 Years And All Parents In Labor Force,DP03_0018E,Commute Via Personal Vehicle,Commute Via Carpool,Commute Via Public Transportation,Commute Via Foot,Commute Via Other Means,Worked From Home,Mean Travel Time In Minutes,DP03_0026E,Occupation Management Business Science and Arts,Occupation Service,Occupation Sales and Office,Occupation Natural Resources Construction And Maintenance,Occupation Production Transportation and Material Moving,DP03_0032E,Industry Agriculture Forestry Fishing Hunting And Mining,Industry Construction,Industry Manufacturing,Industry Wholesale,Industry Retail,Industry Transportation Warehousing and Utilities,Industry Information,Industry Finance Insurance Real Estate Rental and Leasing,Industry Professional Scientific Management Administrative and Waste,Industry Educational Health Care And Social Assistance,Industry Arts Entertainment Recreation Accomodation And Food Services,Industry Other Services,Industry Public Administration,DP03_0046E,DP03_0047E,DP03_0048E,DP03_0049E,DP03_0050E,Total Households,Total Household Income Less than $10K,Total Household Income $10K-$15K,Total Household Income $15K-$25K,Total Household Income $25K-$35K,Total Household Income $35K-$50K,Total Household Income $50K-$75K,Total Household Income $75K-$100K,Total Household Income $100K-$150K,Total Household Income $150K-$200K,Total Household Income $200K Or More,Median Household Income,Mean Household Income,With Earnings,Mean Earnings,With Social Security,Mean Social Security Income,With Retirement Earnings,Mean Retirements Income,With Supplemental Income,Mean Supplemental Income,With Cash Public Assistance,Mean Cash Public Assistance Income,With Food Stamp/SNAP Benefits In The Past 12 Months,DP03_0075E,DP03_0076E,DP03_0077E,DP03_0078E,DP03_0079E,DP03_0080E,DP03_0081E,DP03_0082E,DP03_0083E,DP03_0084E,DP03_0085E,Median Family Income,Mean Family Income,Per Capita Income,DP03_0089E,Median Nonfamily Income,Mean Nonfamily Income,Median Earnings for Workers,Median Earnings for Full Time Males,Median Earnings for Full Time Females,DP03_0095E,DP03_0096E,DP03_0097E,DP03_0098E,DP03_0099E,DP03_0100E,DP03_0101E,DP03_0102E,DP03_0103E,DP03_0104E,DP03_0105E,DP03_0106E,DP03_0107E,DP03_0108E,DP03_0109E,DP03_0110E,DP03_0111E,DP03_0112E,DP03_0113E,DP03_0114E,DP03_0115E,DP03_0116E,DP03_0117E,DP03_0118E
East Stroudsburg,PA,140935,87160,86794,83893,2901,366,53775,71117,39847,39847,38092,10759,6839,21513,13530,81972,64059,6714,4801,857,1249,4292,39.7,83893,28067,14404,19212,8365,13845,83893,891,5893,8340,1453,11204,7515,1112,3091,7865,17684,11072,4398,3375,83893,69013,10315,4347,218,56274,3135,1981,3545,5835,7498,9732,7723,9571,4562,2692,62413,84254,43768,84110,20907,20277,17035,27137,3760,10197,619,1395,5746,40663,1290,712,2170,2637,5245,7563,6236,8563,3555,2692,77039,97103,31155,15611,34695,43537,32538,50835,41912,168886,156339,117368,63816,12547,35173,1790,104304,79413,76826,70085,61648,9968,6741,2587,1860,1225,821,727,24891,21602,12434,11693,3289
Eau Claire,WI,138076,92403,92268,89177,3091,135,45673,68757,43824,43689,42485,10741,7501,22088,17041,87700,68934,6798,218,3008,2634,6108,19.4,89177,33957,15300,17985,6884,15051,89177,2280,4449,11880,2309,12429,5774,1333,5999,5839,22881,8106,3276,2622,89177,74478,10174,4479,46,67096,2297,2704,5188,6643,8435,14180,9934,11367,3308,3040,63460,80799,53011,77163,21568,20454,17991,29527,2042,10304,772,2889,4426,40074,576,668,1075,3217,3510,9425,7254,9396,2481,2472,80963,97103,32991,27022,39425,54207,32250,52178,38623,165922,153715,122141,56061,12207,39027,2248,98725,82868,80615,72824,67288,7897,7791,2253,1835,1232,739,418,15857,14134,9331,5673,1723
El Centro,CA,135259,68860,68297,60600,7697,563,66399,65750,30955,30955,26639,17437,7840,31581,19009,60464,47496,7158,633,2264,1150,1763,23.7,60600,15722,16579,12175,9428,6696,60600,6252,4442,1371,2031,7321,4208,839,2145,4024,12807,6893,1966,6301,60600,40181,15554,4470,395,48182,3293,5026,5553,4349,7012,7028,6229,5985,2276,1431,48472,64050,35754,66796,18831,15177,8444,29325,2696,7290,1992,5377,9347,36308,2037,1869,4333,3645,4740,6221,5406,4505,2163,1389,57467,71174,18800,11874,22472,36476,27461,52989,36904,170646,156505,67184,101227,14141,54314,1926,92707,64372,57177,51265,35063,18271,5912,7195,5130,964,4166,2065,28335,24280,7104,18084,4055
Elizabethtown,KY,122936,71477,67089,63726,3363,4388,51459,62624,32539,31216,29987,10518,7158,22429,16045,67396,56832,5130,214,1380,1403,2437,25.5,63726,22186,10545,13174,6842,10979,63726,859,3945,9144,1601,7202,3557,1158,3038,5683,14194,6022,2804,4519,63726,48945,11978,2677,126,58590,3063,2889,5169,5609,9130,12443,6535,9387,2043,2322,55246,72769,43983,70918,19278,17267,17004,25469,4973,10882,553,3108,5046,39251,1124,679,1827,3192,5260,9270,5644,8318,1678,2259,70863,86696,28963,19339,33032,41155,37892,46782,41965,148578,141519,99611,66458,7059,37630,588,87292,61683,58727,55065,48339,10381,3662,2956,1927,764,1259,1029,25609,23987,11374,15536,1622
Elkhart,IN,156705,103119,103119,99878,3241,0,53586,80634,47189,47189,45148,16274,10477,37884,26282,99222,76386,14825,458,1365,2278,3910,19.3,99878,26351,14749,22993,8753,27032,99878,1696,6170,31903,4357,12306,2362,1272,3533,4240,19221,6886,4072,1860,99878,88298,7711,3842,27,68553,4975,2673,7071,6756,9726,13206,8326,10280,2809,2731,54531,72420,53313,76289,19620,20824,13816,16733,2699,10698,2087,1691,4287,40844,1317,507,2234,1913,4980,9438,6992,8648,2415,2400,75244,93089,26745,27709,30517,39722,31529,47079,32182,203603,171571,128171,62284,32032,59117,11090,114299,92333,89604,73864,69573,5565,15740,2729,1685,1261,424,1044,21966,17848,8798,9950,4118
Elmira,NY,68229,40067,40067,37294,2773,0,28162,34510,19656,19656,18515,4446,3819,11798,9217,36485,30706,2308,571,1219,741,940,20.3,37294,13515,7260,7873,3251,5395,37294,558,1948,3888,305,4114,2148,929,1904,2871,11820,3164,1207,2438,37294,28174,7194,1729,197,33490,2933,1273,2669,2738,4217,6851,4754,5255,1835,965,60782,73297,23775,74613,14235,19376,11114,21438,1782,8404,1169,3050,5366,20850,632,487,1353,1530,2304,4785,3216,4352,1607,584,70078,84277,29639,12640,32029,49261,33413,51297,46731,80540,77826,50809,38539,2714,18238,640,46881,36077,33620,32187,27017,6176,1433,2457,1971,915,1056,486,10804,10649,4262,7178,155
El Paso,TX,643387,400770,381161,359390,21771,19609,242617,328410,180025,178048,166719,70070,42535,143875,99792,370287,301623,36495,3691,4964,13052,10462,23.8,359390,114620,78933,81233,34882,49722,359390,5278,25968,26345,8720,43093,25853,4746,15063,36909,92560,35647,18803,20405,359390,268400,69148,20428,1414,270137,24709,14800,28440,31220,38444,55803,28751,32204,9216,6550,48823,62615,217197,61702,74000,14868,47880,23824,17623,7796,6190,2708,60116,191357,11604,8064,17438,21549,30371,39926,22446,26125,8167,5667,53413,69398,21915,78780,30570,42008,26657,38975,31998,816515,634956,422579,277774,181559,238550,30298,473864,355987,336725,239015,223219,28750,97710,19262,8244,5921,3048,11018,117877,77205,51296,33671,40672
Enid,OK,46983,30270,28531,27453,1078,1739,16713,23757,13134,12714,12465,4179,2260,10668,8565,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,18,27453,7992,5531,5090,3782,5058,27453,1996,1157,2724,616,3507,2183,148,635,2061,6166,2401,2436,1423,27453,21368,4430,1562,93,23683,1441,505,2020,2241,2356,5269,4417,3686,1110,638,64929,83015,18588,73190,6914,19923,5630,18732,1239,10335,556,-999999999,3461,16193,773,142,886,1334,1238,3402,3488,3360,1088,482,76017,92589,32346,7490,38804,61646,33616,51598,33397,58260,50218,40234,17657,8042,16246,1131,32879,26038,25036,20324,19442,1255,4712,1002,429,308,121,573,6841,5215,4012,1609,1626
Erie,PA,219200,132471,132097,125802,6295,374,86729,112309,64982,64916,61948,17551,12636,35439,24281,123725,96709,12227,1713,5030,2432,5614,20,125802,45805,25945,25102,9195,19755,125802,1402,6936,18353,2163,12645,5746,743,8394,9778,37940,11488,7041,3173,125802,104501,13602,7412,287,110128,8936,5219,13016,10771,14927,20436,14145,15010,3824,3844,51818,68095,81481,67422,38840,19401,30159,21802,10278,10136,3684,1961,20540,65759,3055,2521,4795,4475,7959,13711,10294,12626,3173,3150,67505,80873,28502,44369,31495,46042,30763,46064,38486,262654,250022,175600,116880,12632,61346,700,153342,118781,113352,105959,91426,17843,7393,5429,4297,1543,2864,1132,34561,31154,15391,18553,3407
Eugene,OR,319725,195739,195585,183052,12533,154,123986,164762,95713,95611,90850,21273,15220,44992,35291,180060,126217,20306,5247,7863,8583,11844,21.2,183052,65942,36345,39166,17408,24191,183052,4673,12912,18970,6481,22404,7775,2521,9448,16617,46203,20290,7684,7074,183052,138568,31248,12838,398,155696,9653,7924,15862,15563,21111,27132,20580,22952,7900,7019,57325,77180,115697,73687,55227,20551,43314,26362,7697,10157,4471,2675,26198,91847,2646,2265,5254,7036,10160,18038,15150,18691,6551,6056,75523,94211,32333,63849,33049,49110,30200,51677,40182,380371,353483,243678,163213,26888,75838,3200,228774,177250,167151,150962,127528,29910,16189,10099,7696,4472,3543,2403,51524,46902,26013,24370,4622
Eureka,CA,112204,68260,68171,63682,4489,89,43944,57476,32995,32995,31869,7921,6312,16446,12188,62360,43223,8595,418,3866,1480,4778,19,63682,23840,12439,14386,6951,6066,63682,3685,5638,2776,1018,8354,1784,567,2344,5565,16341,8467,2721,4422,63682,42266,12548,8569,299,55692,4253,6531,3934,4582,7888,8536,6390,7067,3084,3427,51662,76880,40508,69982,19950,19010,12652,33363,5228,7989,2332,3872,8002,29816,1839,1481,1307,1830,4382,4737,3561,5396,2618,2665,71718,100222,32537,25876,30088,47460,29683,46545,46944,134571,124493,80719,63652,10078,28527,1301,81208,62644,58705,52924,42291,13883,5781,3939,2865,1595,1389,1074,18564,16664,7983,10351,1900
Evansville,IN,254865,164868,164726,157322,7404,142,89997,132194,80343,80343,76524,19750,14288,44112,33723,154837,131196,12679,969,2997,2104,4892,19.8,157322,55008,31250,30682,12777,27605,157322,1681,10072,27806,4223,15654,8800,3053,6962,12771,37573,17653,7680,3394,157322,134761,15192,6930,439,129971,7403,6025,13665,13804,17207,23047,19257,18088,5783,5692,55584,76730,101117,77588,44152,20490,34746,19005,5596,10285,2511,2771,12145,83513,2658,1870,5795,5970,9996,15296,15511,15724,5307,5386,75315,94855,31953,46458,31109,41537,32229,50230,39900,310476,287896,210390,115773,22580,72417,1746,184174,147894,141169,127748,116949,15030,13421,6725,4135,2004,2222,2590,36280,31990,16836,17980,4290
Fairbanks,AK,76263,52480,45363,43756,1607,7117,23783,34416,21036,20236,19658,7887,3412,13803,9582,49999,36170,8842,547,1379,1211,1850,22.8,43756,17960,7313,8781,4928,4774,43756,1581,3486,945,654,2688,5575,1299,2888,2656,11560,3045,2124,5255,43756,29487,11344,2925,0,35556,982,663,2741,2030,4101,7628,3954,5696,3344,4417,72065,103334,30202,94593,8966,15827,9978,31085,840,6833,1498,3001,2246,23996,198,254,628,1167,2276,5669,2790,4244,3000,3770,87974,121808,39252,11560,41417,58575,42087,62861,55983,89353,82069,68818,24344,7284,24096,1230,54375,40291,39286,35147,32283,4518,4139,1005,682,424,338,323,14084,12492,9944,3871,1592
Fort Payne,AL,56471,34492,34150,32544,1606,342,21979,28571,15088,15088,13696,5271,2635,11745,7635,32701,26251,4158,337,660,193,1102,24.9,32544,8183,5630,5306,3529,9896,32544,852,1639,9052,1637,2214,2374,458,1251,2701,6406,1610,1814,536,32544,26418,2945,3181,0,24880,1790,2095,3888,1880,4202,4713,2659,2725,755,173,44208,56777,18261,61817,8829,18191,4663,17350,818,8333,207,-999999999,3976,16366,652,411,1982,1260,3138,3492,2040,2559,713,119,54871,66524,21939,8514,21213,36416,26916,41788,30825,70392,60469,40516,27417,9923,18767,475,40114,30658,29238,24034,23231,1262,5204,1420,95,95,5,1325,9456,6868,4097,3680,2588
Fort Smith,AR,196934,112058,111710,104745,6965,348,84876,101603,51802,51780,48418,18767,11534,34308,19748,103851,88025,10158,23,1718,1074,2853,22.9,104745,31163,18846,21068,10527,23141,104745,2143,6386,19084,3046,9855,8711,613,3403,7743,25932,9003,4055,4771,104745,83336,16158,5157,94,98307,7181,5396,12885,12971,14719,19334,10627,10254,2611,2329,45157,60063,68572,60867,36361,18248,26817,23024,5609,9715,1306,5123,11535,63576,2511,1945,6322,6148,9957,14816,8353,9302,2201,2021,56083,71412,24134,34731,26651,37051,28505,40365,32221,246522,219279,135942,112023,27243,63496,3845,141089,102751,97116,81412,73113,11809,15704,5635,3827,1723,2104,1808,38338,32775,11465,23684,5563
Fargo,ND,194542,147527,146578,143120,3458,949,47015,97966,69562,69448,67853,18545,14956,36231,30853,140975,116523,11483,1569,3229,2293,5878,19.2,143120,60698,20646,30856,13845,17075,143120,2792,12546,10977,6790,13592,5920,1282,9696,12345,43275,12579,6992,4334,143120,115756,20806,6287,271,104097,6372,4846,7818,8806,12999,20441,13871,16157,6073,6714,62820,84072,88701,82156,22922,20638,18419,21137,3301,10551,2399,2935,8784,57402,1344,549,3127,3366,3674,10438,9063,13554,5993,6294,90408,114805,36283,46695,37637,44547,36387,52081,45766,243594,231553,198903,63556,12041,59899,2767,153180,134400,131551,124308,117780,10117,7243,2849,1924,1537,387,925,18780,17764,11243,8250,1016
Faribault,MN,54009,36041,35912,34693,1219,129,17968,26247,17510,17495,16997,5068,3159,8624,6468,33948,24587,2867,180,790,440,5084,24.7,34693,13024,5460,7266,3847,5096,34693,1158,3253,4838,895,2788,1507,276,1221,2703,11511,2035,1444,1064,34693,29213,3767,1583,130,22861,961,1083,1392,1383,2754,4002,4111,4097,1527,1551,72469,94139,18035,94139,7402,20919,5455,25231,801,10210,455,4052,1045,14860,222,121,242,683,1708,2587,3338,3347,1287,1325,90504,111861,34481,8001,40258,56963,34129,60090,44118,64288,59572,47868,19561,4716,16083,1065,38036,32361,31237,28827,26260,3181,2410,1124,803,456,347,321,5675,4763,3187,1782,912
Farmington,MO,55203,28876,28830,26748,2082,46,26327,25056,13470,13470,12838,4711,3643,8151,5429,26519,21370,3468,0,287,219,1175,27.6,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,26748,106,1827,3037,327,3182,1903,630,835,1583,7625,2711,938,2044,26748,19503,6353,892,0,24021,1580,1759,2945,2855,4340,4349,3088,2106,539,460,42390,59361,18104,59123,9351,17962,6518,17712,1459,9886,604,3711,3426,16458,366,748,1403,1631,3751,3140,2410,2106,539,364,52529,69594,21793,7563,22583,33094,24325,34882,32415,60679,53680,40436,22502,6999,14011,197,36421,26198,24401,20625,19482,1589,3776,1797,661,444,279,1136,10223,8333,4215,5484,1890
Farmington,NM,95509,50260,50260,46994,3266,0,45249,48634,23878,23878,22665,9212,4305,21688,14102,46398,40982,2809,150,849,136,1472,22.8,46994,12286,10813,9423,7658,6814,46994,4254,4231,2146,221,5531,2064,466,1898,2537,12698,5678,2147,3123,46994,33917,10099,2826,152,42561,3701,2109,5400,5849,6603,8883,3732,4175,1176,933,44321,60348,30893,60846,15410,17228,9060,21933,2533,8940,1478,3071,7330,30001,1886,1010,3238,4297,4742,6790,2516,3625,1058,839,48713,66563,21626,12560,28668,39317,28467,40925,31555,122677,105672,55852,63815,17005,33416,2222,70276,47592,44326,34788,26448,11027,9538,3266,2605,893,1867,661,22684,18210,8097,11610,4474
Fayetteville,NC,407989,256763,219238,203390,15848,37525,151226,207953,117640,113336,104624,45011,27190,78708,56819,236935,193325,20350,1229,10475,3837,7719,24.8,203390,65105,40215,44300,22226,31544,203390,1381,18636,19785,3058,25229,10516,3063,7214,18110,48411,23601,8777,15609,203390,153769,40613,8669,339,193936,17554,10117,21224,21207,31478,35786,23608,22403,6236,4323,47597,61261,149796,59624,52855,17736,45973,24545,10294,9544,2607,1735,31701,120787,6699,3376,9284,12833,18670,24272,18038,19068,4994,3553,59712,71125,24457,73149,30359,42498,30034,39991,34636,484846,425435,301098,195242,59411,143070,7084,279558,201846,187671,153027,139518,27380,34644,14175,10218,6809,4791,3957,77712,64166,38735,35913,13546
Fayetteville,AR,416093,268688,268602,258136,10466,86,147405,210487,122840,122840,118524,39897,23845,88402,58393,254515,207441,28491,1049,3186,2516,11832,20.9,258136,101251,41446,51949,22931,40559,258136,4004,21162,32187,7020,45398,14032,2338,10626,24982,52972,23715,12687,7013,258136,212761,28147,16776,452,196683,11429,7064,18339,18035,26028,36520,25354,28763,10148,15003,61674,84571,156601,87265,52665,19815,35607,25377,6839,9957,2581,3812,10524,133300,3774,2287,7332,11573,15037,26276,19199,24554,9366,13902,75264,101320,31663,63383,34184,46349,33899,48901,36606,532378,472782,358039,167408,59596,143836,10853,319751,249978,241556,210151,193401,22779,31405,8422,4850,3077,1967,3572,69773,56613,35932,24903,13160
Findlay,OH,61090,40024,39781,38579,1202,243,21066,30895,18640,18640,18162,4487,3627,10759,8503,37607,32231,3474,11,612,416,863,19,38579,13822,6414,6386,3350,8607,38579,1367,2117,10309,1184,4143,2021,507,791,2229,8674,3301,1059,877,38579,32597,3808,2157,17,32490,1439,935,3316,2953,4916,5748,4574,4462,2246,1901,60944,85029,25861,80523,10482,21297,9151,38018,1940,8850,630,1336,2500,19323,479,89,571,1106,2900,3622,2973,4014,2066,1503,80560,105935,36635,13167,33357,51171,36517,55762,37274,74595,72284,59473,24885,2311,17878,224,43862,35264,34456,32975,31402,2559,1481,808,700,364,336,108,8598,8201,4730,4172,397
Flagstaff,AZ,118789,74860,74860,68508,6352,0,43929,60620,37751,37751,34102,7920,5525,18800,14168,66823,45276,7375,1486,6164,1838,4684,19.5,68508,30701,15232,12188,4126,6261,68508,1122,2443,3767,493,8056,3335,791,1639,4960,22041,13249,2277,4335,68508,45112,18783,4452,161,48993,4541,2678,3294,3320,6782,8901,5339,7357,4046,2735,58085,81219,38616,77453,12932,19391,10916,32412,2010,9572,731,1355,3625,29293,1057,443,1184,1602,3828,5997,4454,5870,2387,2471,76601,101106,29379,19700,34758,48204,26763,48819,41351,142729,125655,96312,43587,17074,33611,3554,90605,68393,63446,53936,48734,7672,9510,4947,4040,2370,1945,907,22212,19348,12813,7493,2864
Flint,MI,326758,190210,189893,173534,16359,317,136548,171803,93313,93313,85067,27579,18794,56911,42851,169309,138750,15722,2560,2216,1208,8853,26.2,173534,56701,32967,35030,15032,33804,173534,936,12141,31349,4321,22644,6266,1404,7443,14957,42863,17588,7587,4035,173534,147619,15523,10067,325,169247,14576,8336,16658,18497,25909,32307,20352,19687,7187,5738,50389,67405,116487,69675,66126,19722,54865,22567,14622,9824,3516,2302,34292,106890,5794,3222,6328,9671,15029,22391,16403,16846,6379,4827,64374,79929,28503,62357,31113,42298,31542,53038,37128,403598,382132,257622,197726,21466,95043,1913,236224,173219,158707,144459,120463,30383,14248,14512,12649,2418,10419,1863,63005,59777,29738,37482,3228
Florence,SC,163653,92784,92442,88464,3978,342,70869,88237,46603,46603,44438,13055,9354,28937,21567,87861,76902,5313,20,859,1139,3628,24.7,88464,31075,13117,19018,7711,17543,88464,1047,5345,15791,1544,11093,5929,421,3958,6118,22241,8815,3014,3148,88464,70717,13429,4152,166,77848,7204,4466,9246,7788,11162,12737,9248,10262,3119,2616,48547,66132,56324,70454,28607,18330,20388,20481,5137,9557,834,733,11638,53107,2979,1808,4463,5735,8370,8798,7376,8766,2657,2155,58301,76285,25901,24741,25976,39662,31060,46828,31571,202458,180059,121915,84512,22399,49459,1452,117066,85719,81835,69496,64821,6325,12339,3884,2137,1804,333,1747,31347,24486,13344,14535,6861
Florence,AL,120837,65945,65884,63304,2580,61,54892,63497,30111,30111,28629,7755,4671,21129,15248,62688,55297,4600,179,432,488,1692,25.8,63304,18451,11776,13458,7681,11938,63304,609,5056,9905,2013,7884,4672,827,2771,5000,14018,6377,2496,1676,63304,51449,8467,3129,259,60837,5546,3626,7064,6759,9692,9976,7822,7947,1226,1179,45824,60690,39648,64311,23510,19139,17876,22413,4281,11701,951,4095,9250,38565,1757,622,3581,4241,5903,6755,6544,6971,1226,965,61387,72715,26044,22272,26460,37680,30037,48117,34962,146682,131308,100003,55801,15374,32477,1837,84420,59601,57106,48089,46980,2309,9017,2495,1316,863,523,1179,24819,21478,12562,11911,3341
Fond du Lac,WI,84734,57854,57844,56314,1530,10,26880,43729,27902,27902,27417,7172,5866,13538,11135,55527,46075,4108,0,1443,881,3020,21.2,56314,16216,8013,11568,7200,13317,56314,1422,4335,12587,1298,6837,3722,873,3177,2196,12146,3124,2686,1911,56314,47956,5515,2843,0,42604,1169,1409,3568,3297,5890,8759,6351,8259,2594,1308,65329,80169,32583,81462,14536,20833,11982,21368,1320,12932,643,3419,3075,26043,161,170,919,996,3177,5366,4805,7130,2163,1156,87451,99138,33847,16561,38755,47913,40019,52435,41856,101728,97664,78936,31931,4064,22620,570,59944,52065,50951,47953,45554,3320,2998,1114,922,672,343,192,7879,7575,5132,3297,304
Forest City,NC,54794,27530,27530,26303,1227,0,27264,28956,12939,12939,12284,3669,2762,8767,5302,25620,21595,2002,0,605,612,806,28.2,26303,7331,4651,4598,3708,6015,26303,336,1732,5112,547,2761,1553,478,720,2238,5653,1862,2219,1092,26303,21926,2333,1974,70,27970,1201,2237,3770,3593,4902,5122,2920,2559,586,1080,44361,63090,18643,62889,12525,19022,8756,20207,1545,8151,446,963,5662,18874,372,543,1328,2775,4224,3554,2488,2173,586,831,50846,71868,25940,9096,23407,40761,30425,47586,35442,66060,58583,38782,31773,7477,14384,742,36543,24620,24055,20311,18245,2981,3744,565,354,262,92,211,11923,9472,5656,5083,2451
Fort Collins,CO,295452,198631,198407,191401,7006,224,96821,148403,93067,93067,89802,20423,11711,45399,31070,188874,143072,10939,2757,4656,8295,19155,23.7,191401,91802,32997,35328,14949,16325,191401,4536,11893,18116,2840,21150,5942,2117,9077,29355,49744,19596,8626,8409,191401,143777,32910,14537,177,146638,7395,4685,10722,8839,15014,26447,20949,24654,14050,13883,75186,98731,118081,95257,38550,20764,36157,31418,5920,8109,2140,3218,7217,89168,1698,860,3195,3119,7514,15262,12859,19717,12336,12608,100135,123931,40582,57470,44910,56392,36783,64205,46436,354331,333720,271998,101438,20611,74441,2244,222783,181625,175247,162307,150616,15600,12940,6378,5237,3566,1840,1141,41158,36907,27545,11378,4251
Fort Wayne,IN,320314,216997,216652,208392,8260,345,103317,165453,103668,103668,99924,33086,24118,67689,50753,205906,169790,20110,1874,3176,1600,9356,22.1,208392,74948,31255,43691,16960,41538,208392,1325,12657,42670,5800,24243,10279,3203,12891,14554,49281,18440,7787,5262,208392,182375,17431,8053,533,160462,7679,5818,13016,17791,25182,31892,20964,23366,7922,6832,57287,77610,129489,78731,46386,20847,40407,17123,9525,10714,3146,3866,13218,103664,2676,2097,3534,8537,15341,22001,15176,20897,7217,6188,71184,94223,30800,56798,34259,43518,34909,51564,38860,409161,374079,283200,136360,35082,108392,5910,239686,195854,188195,167822,154302,18796,20373,7659,5503,3109,2781,2156,43832,37283,20060,19916,6549
Frankfort,KY,59715,35058,35000,33962,1038,58,24657,-999999999,-999999999,-999999999,-999999999,5149,3559,9384,7959,33593,26973,3588,176,612,223,2021,21.9,33962,13901,4656,6862,3256,5287,33962,703,2784,4280,516,2651,2370,265,1444,3543,8359,1501,1334,4212,33962,22194,9815,1953,0,30532,1546,1814,2428,2894,4241,6086,4786,3993,1507,1237,59495,78241,23331,69904,10031,20793,10067,34290,2212,10724,173,-999999999,3230,19688,492,741,1137,1051,2210,4184,4187,3393,1467,826,75103,86922,33316,10844,33164,57267,34810,52236,41000,72515,67847,49396,29798,4668,16299,523,43423,32315,31472,28053,24982,3593,3419,843,586,207,379,257,11108,10863,4476,7076,245
Fresno,CA,746456,448362,447442,410423,37019,920,298094,376329,203626,203362,186504,83990,50357,184124,120851,401105,313373,50971,4150,5652,5476,21483,24.3,410423,130039,84364,78336,58229,59455,410423,36424,26807,24997,11134,40405,26413,4758,17298,38197,107402,32028,18566,25994,410423,309268,74751,25633,771,315974,24453,16677,30663,32033,36318,53838,39127,45606,20352,16907,57518,76573,244706,77999,87010,17135,65260,28521,26768,10020,19060,4234,55077,226172,12549,7949,20831,22092,25933,39505,28842,36604,16566,15301,65568,84683,25260,89802,32413,49300,31444,47397,41166,987054,904524,519119,485250,82530,296294,11024,567641,417616,382776,337931,264421,88509,44845,34840,27526,10959,18487,7314,150025,132197,54212,86814,17828
Gadsden,AL,82584,46379,46379,43451,2928,0,36205,43603,22382,22382,21451,6223,4331,12805,9197,41575,38002,1838,46,575,360,754,26.2,43451,12799,8615,8934,4483,8620,43451,144,2555,7835,756,4614,2129,307,2302,2890,10316,5129,2362,2112,43451,33949,7244,2223,35,40053,3955,2524,6354,4740,5358,6999,3889,4123,1190,921,41447,59944,27302,61822,14870,18397,10025,16891,3082,8988,1061,7325,6005,25177,1209,1166,2719,2831,3214,5614,2740,3786,1072,826,53690,71632,25065,14876,23712,39099,26823,43264,31252,101470,88085,64315,40091,13385,22810,2195,59085,42140,39386,33275,31257,2942,6111,2754,1428,1051,377,1326,16945,13476,7936,7696,3469
Gainesville,FL,274685,158413,158318,151810,6508,95,116272,144203,78388,78388,74692,18281,11758,37080,27344,148165,111140,14406,3290,6872,5164,7293,22.8,151810,67251,27980,34218,10036,12325,151810,2378,7831,5556,1911,15196,6070,2207,7293,12917,56695,19308,8006,6442,151810,104781,39467,7199,363,126736,13809,5620,15134,13129,18748,20042,13048,15915,4647,6644,47762,69206,93485,70179,38813,20621,29990,27682,5823,9172,2118,1648,11387,67093,2474,735,5331,5476,8897,11669,9957,12631,4404,5519,71692,94160,28111,59643,27829,38532,30061,48997,37097,324495,290281,229193,99402,34214,67928,4988,204933,147555,141920,124201,116795,11193,17719,5635,3662,2881,899,1973,57378,48568,34788,17469,8810
Gainesville,GA,159604,98216,97901,94125,3776,315,61388,81235,44494,44448,42197,16407,9452,32230,22420,93879,72114,11802,460,1473,1473,6557,29.8,94125,29498,13807,19302,12346,19172,94125,1961,11087,17422,4014,9726,4182,1321,5550,7978,15717,7998,5003,2166,94125,77510,9677,6773,165,65625,1472,2568,5320,6183,7856,12874,7741,11744,4673,5194,67467,96366,51112,91122,20803,22803,18138,31319,2797,9027,352,3100,3590,48776,665,915,2523,4148,4874,9485,6563,10767,4372,4464,78870,104889,32667,16849,36327,67093,31765,41657,35858,203309,165831,123894,63049,37478,53170,6252,119482,91451,88599,68717,66433,3911,19882,2852,1565,1227,338,1287,28031,18215,12167,7196,9816
Gallup,NM,52986,24817,24817,22926,1891,0,28169,28132,13036,13036,12097,5983,3746,12031,6266,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,22.4,22926,6279,5464,6002,2291,2890,22926,235,1613,875,153,3579,641,407,1631,1139,7125,2647,1294,1587,22926,16232,5511,1103,80,21719,3463,1459,2408,2615,3388,3492,2352,1650,612,280,37153,49716,15242,51532,7634,15776,3787,20946,2563,9607,404,1976,5975,16425,2315,900,2092,1691,2435,2985,1773,1429,525,280,42213,52990,15589,5294,29155,34894,25183,32194,33730,70959,51729,12593,42146,19230,21150,3888,39878,23063,21320,12586,6351,6590,8734,1743,1203,128,1120,540,16815,11235,1657,9702,5580
