City,State,Population,Population Male,Population Female,Sex Ratio Males per 100 Females,Under 5 Years,5 to 9 years,10 to 14 years,15 to 19 Years,20 to 24 Years,25 to 34 Years,35 to 44 Years,45 to 54 Years,55 to 59 Years,60 to 64 Years,65 to 74 Years,75 to 84 Years,85 Years or Over,Median Age,Under 18 Years,18 Years and Over,21 Years and Over,62 Years and Over,65 Years and Over,Males 18 Years and Over,Females 18 Years and Over,18 and Over Sex Ratio 1 Male to 100 Females,Males 65 Years and Over,Females 65 Years and Over,65 and Over Sex Ratio 1 Male to 100 Females,Single Race Population,Multiracial Population,White Population,Black or African American Population,American Indian and Alaska Native,Cherokee Tribal Grouping,Chippewa Tribal Grouping,Navajo Tribal Grouping,Sioux Tribal Grouping,Asian Population,Asian Indian Population,Chinese Population,Filipino Population,Japanese Population,Korean Population,Vietnamese Population,Other Asian Population,Native Hawaiian and Other Pacific Islander Population,Native Hawaiian Population,Guamanian or Chamorro Population,Samoan Population,Other Pacific Islander Population,Other Race Population,White and Black or African American Multiracial Population,White and American Indian and Alaskan Native Multiracial Population,White and Asian Multiracial Population,Black or African American and American Indian and Alaskan Native Multiracial Population,Hispanic or Latino Population,Mexican Population,Puerto Rican Population,Cuban Population,Other Hispanic or Latino Population,Elligible Voter Population,Elligible Male Voter Population,Elligible Female Voter Population
South Bend,IN,323613,158868,164745,96.4,19550,20071,21383,24236,23164,41831,36724,39273,20537,22533,31857,15869,6585,38.2,74329,249284,232816,68159,54311,119753,129531,92.5,24251,30060,80.7,311798,11815,256139,37697,2120,-999999999,-999999999,-999999999,-999999999,7694,1406,1794,1265,276,1280,335,1338,73,-999999999,-999999999,-999999999,-999999999,8075,7050,1336,1024,387,26926,21505,1209,0,4212,237574,113655,123919
Spartanburg,SC,319785,155121,164664,94.2,19682,20097,21626,20658,20591,43317,39336,41094,20471,21025,31067,13865,6956,38.5,73712,246073,233303,65626,51888,117387,128686,91.2,22509,29379,76.6,313062,6723,233071,65752,724,-999999999,-999999999,-999999999,-999999999,8364,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,48,-999999999,-999999999,-999999999,-999999999,5103,3042,1010,439,0,23303,12439,3430,558,6876,237683,112420,125263
Spokane,WA,568521,282120,286401,98.5,33773,32240,37640,36665,36094,82709,70182,66375,34758,40717,59229,28056,10083,38.4,124531,443990,421346,121762,97368,217461,226529,96,44551,52817,84.3,542531,25990,500066,11008,9766,-999999999,-999999999,-999999999,-999999999,12301,936,864,1904,1320,1189,2449,3639,3464,-999999999,-999999999,-999999999,-999999999,5926,5242,8253,6206,1058,33596,24283,2261,203,6849,434330,213168,221162
Springfield,IL,207003,98956,108047,91.6,11860,12765,13147,13305,10692,25671,25591,25721,15093,14469,22669,12153,3867,40.9,45772,161231,153555,46854,38689,75849,85382,88.8,16601,22088,75.2,201909,5094,171448,25423,122,-999999999,-999999999,-999999999,-999999999,4052,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,187,-999999999,-999999999,-999999999,-999999999,677,2280,867,790,159,5046,3007,675,330,1034,159065,74938,84127
Springfield,MA,697382,333527,363855,91.7,32795,36231,40237,54728,59458,87209,78842,85542,46463,49141,75445,35188,16103,39.7,134682,562700,519751,156670,126736,264225,298475,88.5,55015,71721,76.7,670587,26795,576663,45869,1235,-999999999,-999999999,-999999999,-999999999,22003,2763,5130,782,621,1717,3400,7590,599,-999999999,-999999999,-999999999,-999999999,24218,12726,2550,4345,1494,135189,4395,111586,2042,17166,544608,255991,288617
Springfield,MO,467516,229807,237709,96.7,27962,28067,30691,30961,40446,63214,56278,53856,27492,30992,44148,24457,8952,37.2,103813,363703,339442,94774,77557,175811,187892,93.6,33984,43573,78,454463,13053,428588,11483,2403,-999999999,-999999999,-999999999,-999999999,7755,207,2497,1124,143,435,1847,1502,532,-999999999,-999999999,-999999999,-999999999,3702,5035,4533,1870,27,16989,12715,1119,47,3108,357543,172436,185107
Springfield,OH,134083,64870,69213,93.7,7622,7646,8790,10061,8082,15030,14679,17541,9106,9449,15083,8022,2972,41.2,29710,104373,97898,32100,26077,49554,54819,90.4,11459,14618,78.4,130166,3917,116299,12025,147,-999999999,-999999999,-999999999,-999999999,876,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,819,2370,875,371,42,4851,-999999999,-999999999,-999999999,-999999999,103546,49162,54384
State College,PA,162385,84877,77508,109.5,5671,6316,7285,15930,26297,22280,17174,17880,8704,10652,13899,7654,2643,33.4,23363,139022,120153,31045,24196,73008,66014,110.6,11069,13127,84.3,158817,3568,142448,5975,76,-999999999,-999999999,-999999999,-999999999,9755,1031,5151,683,666,1102,737,385,67,-999999999,-999999999,-999999999,-999999999,496,935,162,1948,0,4911,614,1788,0,2509,129936,69460,60476
Statesboro,GA,79608,38755,40853,94.9,4388,3797,4822,9374,13157,11379,7938,7824,4135,3739,5646,2962,447,28,15495,64113,53093,11091,9055,31264,32849,95.2,4079,4976,82,76644,2964,51797,22620,217,-999999999,-999999999,-999999999,-999999999,965,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,1045,-999999999,-999999999,-999999999,-999999999,3376,1054,1244,324,754,62609,30747,31862
Staunton,VA,123120,60072,63048,95.3,6430,5453,6803,7041,6400,14591,16346,14821,9580,9007,14922,7231,4495,44.5,23458,99662,96941,30813,26648,48570,51092,95.1,11842,14806,80,120240,2880,109628,9017,437,-999999999,-999999999,-999999999,-999999999,361,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,290,-999999999,-999999999,-999999999,-999999999,507,-999999999,-999999999,-999999999,-999999999,4332,2447,608,16,1261,97032,47201,49831
Stevens Point,WI,70772,35400,35372,100.1,3307,4343,3399,5854,7898,8092,8042,8118,4345,5196,7184,3620,1374,38.3,13197,57575,51881,15622,12178,28479,29096,97.9,5676,6502,87.3,70097,675,65426,873,286,-999999999,-999999999,-999999999,-999999999,2394,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,1118,156,205,137,0,2401,-999999999,-999999999,-999999999,-999999999,56020,27915,28105
Stillwater,OK,81784,40802,40982,99.6,3924,4787,4220,8614,15041,11731,8248,6484,3999,3392,5883,4199,1262,28.5,15531,66253,55913,13182,11344,32763,33490,97.8,4762,6582,72.3,75961,5823,64818,2970,3219,-999999999,-999999999,-999999999,-999999999,3661,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,15,-999999999,-999999999,-999999999,-999999999,1278,861,3525,646,358,3942,2934,512,0,496,61628,30026,31602
Stockton,CA,762148,380845,381303,99.9,51928,52861,63897,57590,51160,106728,101242,91435,44951,40946,58490,28479,12441,34.7,203759,558389,523889,122359,99410,276068,282321,97.8,43788,55622,78.7,672831,89317,431364,52493,4831,-999999999,-999999999,-999999999,-999999999,123090,20088,12798,40840,1301,1485,11247,35331,5279,107,683,1196,3293,55774,7158,43067,12982,3478,320334,286845,5495,1079,26915,479513,238626,240887
Sumter,SC,140466,68959,71507,96.4,8061,9803,8788,8881,9606,18255,16962,14924,12047,7518,14773,8161,2687,38.5,31782,108684,103269,30283,25621,52296,56388,92.7,10847,14774,73.4,135811,4655,65797,66228,140,-999999999,-999999999,-999999999,-999999999,1808,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,35,-999999999,-999999999,-999999999,-999999999,1803,2040,139,518,318,4947,-999999999,-999999999,-999999999,-999999999,107384,51713,55671
Sunbury,PA,90843,45981,44862,102.5,4494,4800,5571,4417,4623,12302,9948,11381,6272,7466,10806,6830,1933,44.1,17750,73093,70900,23948,19569,36861,36232,101.7,8724,10845,80.4,89757,1086,86161,2759,174,-999999999,-999999999,-999999999,-999999999,494,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,65,-999999999,-999999999,-999999999,-999999999,104,-999999999,-999999999,-999999999,-999999999,3580,70,1634,25,1851,72014,36231,35783
Syracuse,NY,648593,315915,332678,95,35770,34834,40527,49783,43743,82652,72858,80861,45960,48382,65355,31784,16084,39.8,135306,513287,476891,140544,113223,246153,267134,92.1,50270,62953,79.9,625808,22785,540169,56118,3596,-999999999,-999999999,-999999999,-999999999,18962,2382,6458,586,418,1206,2165,5747,252,-999999999,-999999999,-999999999,-999999999,6711,8703,4054,3002,1920,28263,2421,14047,2186,9609,497152,237852,259300
Talladega,AL,79978,39620,40358,98.2,4576,3639,5604,5725,4913,9499,9636,10478,5232,6065,8696,4933,982,41.7,17015,62963,58826,18737,14611,29798,33165,89.8,6582,8029,82,78368,1610,50787,26486,385,-999999999,-999999999,-999999999,-999999999,413,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,133,-999999999,-999999999,-999999999,-999999999,164,-999999999,-999999999,-999999999,-999999999,1913,-999999999,-999999999,-999999999,-999999999,62328,29344,32984
Tallahassee,FL,386454,188412,198042,95.1,19855,19486,22081,31841,48380,54938,43156,43936,24000,21680,35467,16405,5229,34.3,73021,313433,279828,70283,57101,149131,164302,90.8,24634,32467,75.9,377772,8682,230941,126307,958,-999999999,-999999999,-999999999,-999999999,11359,3888,2595,955,194,884,286,2557,71,-999999999,-999999999,-999999999,-999999999,8136,4446,1471,1383,232,26578,7446,3599,4361,11172,300832,142281,158551
Tampa. Petersburg,FL,3194831,1551478,1643353,94.4,167341,166902,187760,175831,178339,423132,400557,414746,221031,218807,356355,205061,78969,42.2,628593,2566238,2457931,770624,640385,1229205,1337033,91.9,287395,352990,81.4,3078063,116768,2460525,398815,6851,1874,639,0,180,111237,37050,15955,13745,1483,5740,20210,17054,2766,801,52,198,1715,97869,43685,12828,22291,1337,656696,126210,191629,144174,194683,2378530,1133908,1244622
Terre Haute,IN,185782,93357,92425,101,11094,9997,11325,12661,16508,23638,20594,21987,12723,11470,19434,10877,3474,38.8,39221,146561,137793,40461,33785,72823,73738,98.8,14489,19296,75.1,180430,5352,167607,9368,289,-999999999,-999999999,-999999999,-999999999,1808,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,239,-999999999,-999999999,-999999999,-999999999,1119,2334,665,916,138,4364,2886,204,0,1274,144338,71208,73130
Texarkana,TX,149308,73848,75460,97.9,8066,10750,10386,9292,8730,18495,17389,20374,9847,9559,14918,8612,2890,39.9,34443,114865,108924,32558,26420,56776,58089,97.7,11508,14912,77.2,145396,3912,103560,36642,1516,-999999999,-999999999,-999999999,-999999999,742,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,31,-999999999,-999999999,-999999999,-999999999,2905,2037,667,540,0,9091,-999999999,-999999999,-999999999,-999999999,112540,55536,57004
The Villages,FL,132420,65348,67072,97.4,2441,2418,2287,3789,3099,6013,8714,7773,6885,10217,44009,30060,4715,68.9,9100,123320,120706,86336,78784,60736,62584,97,36808,41976,87.7,130915,1505,119040,8298,1444,-999999999,-999999999,-999999999,-999999999,1546,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,587,-999999999,-999999999,-999999999,-999999999,7854,2591,2568,589,2106,120663,58905,61758
Toledo,OH,641816,312154,329662,94.7,38299,38812,40013,42361,47005,87810,71742,77189,40982,47406,65050,31440,13707,38.4,141406,500410,470149,138992,110197,239957,260453,92.1,48903,61294,79.8,616947,24869,508162,85338,2159,-999999999,-999999999,-999999999,-999999999,10399,2397,2721,1450,257,783,196,2595,827,-999999999,-999999999,-999999999,-999999999,10062,13853,2675,2390,226,44860,32957,6060,413,5430,492690,235229,257461
Topeka,KS,231969,113846,118123,96.4,13476,16464,14694,14897,14028,27163,26607,27573,16300,16538,25513,14331,4385,40.5,54283,177686,170131,53696,44229,85529,92157,92.8,19764,24465,80.8,224790,7179,194565,16843,3101,-999999999,-999999999,-999999999,-999999999,2200,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,36,-999999999,-999999999,-999999999,-999999999,8045,1425,2853,1116,174,24743,22056,1057,1007,623,174825,84409,90416
Torrington,CT,180333,89859,90474,99.3,6940,8979,9893,10326,8889,20500,18662,25518,15307,15646,22900,11259,5514,47.9,32372,147961,142425,48020,39673,72623,75338,96.4,18307,21366,85.7,176108,4225,166674,2863,336,-999999999,-999999999,-999999999,-999999999,4049,801,424,460,114,1652,185,413,0,-999999999,-999999999,-999999999,-999999999,2186,1105,100,830,0,12799,1779,6247,183,4590,143831,70571,73260
Traverse City,MI,150653,73989,76664,96.5,7217,7647,8291,8954,7608,17440,16648,17742,13139,10979,20975,9205,4808,45.8,28429,122224,117464,41856,34988,59457,62767,94.7,16276,18712,87,147653,3000,143139,987,2112,-999999999,-999999999,-999999999,-999999999,795,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,237,-999999999,-999999999,-999999999,-999999999,383,517,1305,750,0,3976,-999999999,-999999999,-999999999,-999999999,121214,58803,62411
Trenton,NJ,367430,178912,188518,94.9,20751,20720,22856,28862,26026,45746,46358,50127,23047,25450,32233,16864,8390,38.8,78062,289368,268467,71895,57487,139628,149740,93.2,24508,32979,74.3,359013,8417,219260,75137,914,-999999999,-999999999,-999999999,-999999999,43674,24753,9660,3475,1192,2634,122,1838,269,-999999999,-999999999,-999999999,-999999999,19759,2912,465,1462,202,67823,4655,16948,1327,44893,248119,119005,129114
Truckee,CA,99755,48342,51413,94,5100,4361,4396,4767,4123,10144,11883,10463,7221,9571,17000,7264,3462,50,16831,82924,79735,33537,27726,40236,42688,94.3,12884,14842,86.8,95528,4227,92832,310,487,-999999999,-999999999,-999999999,-999999999,1243,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,342,-999999999,-999999999,-999999999,-999999999,314,-999999999,-999999999,-999999999,-999999999,9731,-999999999,-999999999,-999999999,-999999999,79852,39128,40724
Tucson,AZ,1047279,516110,531169,97.2,57113,60599,61314,69026,88778,135885,120304,112541,63631,65492,119874,69655,23067,38.9,215606,831673,778821,252031,212596,405576,426097,95.2,96614,115982,83.3,987957,59322,795391,38343,40603,0,606,2814,504,29276,4411,7446,6429,1293,2985,3552,3160,1733,-999999999,-999999999,-999999999,-999999999,82611,8272,19188,11524,2064,395446,355285,8939,2340,28882,761110,371071,390039
Tullahoma,TN,104382,52139,52243,99.8,5285,6089,6715,7662,7178,11217,11911,13983,8269,6927,11128,6046,1972,41.6,23047,81335,76150,23169,19146,39299,42036,93.5,8600,10546,81.5,101597,2785,93248,4704,112,-999999999,-999999999,-999999999,-999999999,907,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,2626,-999999999,-999999999,-999999999,-999999999,4216,-999999999,-999999999,-999999999,-999999999,79629,38550,41079
Tulsa,OK,998655,491612,507043,97,65280,67226,71009,65932,60504,137167,127273,119796,62823,62399,93707,47479,18060,37.4,244433,754222,715807,195564,159246,365595,388627,94.1,70617,88629,79.7,916022,82633,712046,78110,77394,34189,193,367,210,26567,3553,2300,1977,864,814,5541,11518,957,-999999999,-999999999,-999999999,-999999999,20948,11810,51568,3270,5879,104015,79592,5119,584,18720,720429,348410,372019
Tupelo,MS,166126,79551,86575,91.9,9960,11922,12587,10698,11053,20400,22466,19833,11893,8984,14315,8718,3297,37.7,40764,125362,118648,32313,26330,59312,66050,89.8,11164,15166,73.6,164471,1655,122248,34781,262,-999999999,-999999999,-999999999,-999999999,2958,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,4222,-999999999,-999999999,-999999999,-999999999,5930,-999999999,-999999999,-999999999,-999999999,122202,57576,64626
Tuscaloosa,AL,251836,123265,128571,95.9,14161,14886,14348,24720,22411,34573,30335,29502,14094,15334,23076,11375,3021,35.2,52704,199132,177970,46572,37472,95497,103635,92.1,16759,20713,80.9,249828,2008,156036,88359,87,-999999999,-999999999,-999999999,-999999999,3491,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,125,-999999999,-999999999,-999999999,-999999999,1730,1140,119,228,72,11159,5277,138,524,5220,193749,93014,100735
Twin Falls,ID,109784,53468,56316,94.9,8705,9880,8422,7180,6704,13887,13325,12018,6724,5488,9812,5749,1890,35.1,31692,78092,75151,21016,17451,38981,39111,99.7,8132,9319,87.3,106738,3046,101554,415,348,-999999999,-999999999,-999999999,-999999999,1901,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,273,-999999999,-999999999,-999999999,-999999999,2247,-999999999,-999999999,-999999999,-999999999,23284,-999999999,-999999999,-999999999,-999999999,70864,34554,36310
Tyler,TX,232751,111874,120877,92.6,15465,16398,15473,16897,15785,32324,27463,25273,16058,12397,21099,12991,5128,36.6,56590,176161,165783,46305,39218,83257,92904,89.6,17392,21826,79.7,229656,3095,178470,41309,845,-999999999,-999999999,-999999999,-999999999,4298,792,159,1422,37,227,578,1083,336,-999999999,-999999999,-999999999,-999999999,4398,819,1216,304,0,46746,41965,597,70,4114,163015,76027,86988
Ukiah,CA,86749,42245,44504,94.9,4883,4242,6370,5230,4463,8430,10799,10457,4931,6643,13029,5517,1755,43.4,18319,68430,65222,23929,20301,33477,34953,95.8,9319,10982,84.9,83685,3064,73467,823,4610,-999999999,-999999999,-999999999,-999999999,1954,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,135,-999999999,-999999999,-999999999,-999999999,2696,286,1864,474,0,22379,-999999999,-999999999,-999999999,-999999999,63220,30302,32918
Urban Honolulu,HI,974563,490069,484494,101.2,60102,57673,54974,53555,67553,146382,125615,115080,58486,57287,96296,53392,28168,38.4,204874,769689,736274,214064,177856,384182,385507,99.7,78491,99365,79,770895,203668,196270,25241,3090,-999999999,-999999999,-999999999,-999999999,428277,2340,48234,154450,142234,22590,8523,49906,101448,53987,1495,13902,32064,16569,5402,3054,56129,362,97281,31845,28298,704,36434,700404,357516,342888
Utica,NY,289990,144328,145662,99.1,15543,16949,17837,18725,18300,36178,31973,36127,20327,21521,31277,17727,7506,41.7,61037,228953,217423,68370,56510,112859,116094,97.2,24948,31562,79,278480,11510,251119,14125,481,-999999999,-999999999,-999999999,-999999999,9773,446,2634,712,43,140,136,5662,37,-999999999,-999999999,-999999999,-999999999,2945,5508,993,1305,125,15497,906,8443,169,5979,221513,108773,112740
Valdosta,GA,145738,70339,75399,93.3,10632,10203,9967,9134,15760,22732,17525,14796,7392,7500,11542,6135,2420,32.1,35204,110534,102810,25059,20097,51992,58542,88.8,8384,11713,71.6,142096,3642,82093,51958,1076,-999999999,-999999999,-999999999,-999999999,1339,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,659,-999999999,-999999999,-999999999,-999999999,4971,279,379,2093,12,11355,3965,2670,536,4184,108430,50746,57684
Vallejo,CA,447643,222048,225595,98.4,26732,25777,29999,26099,28329,65438,57782,54967,30013,29893,44441,19002,9171,38.5,98885,348758,333913,90398,72614,171535,177223,96.8,32242,40372,79.9,413168,34475,240947,61052,2450,-999999999,-999999999,-999999999,-999999999,69555,5695,6343,44409,2175,2485,3668,4780,4125,303,1945,1043,834,35039,6181,3251,11331,1053,122103,89848,5819,86,26350,314933,155264,159669
Victoria,TX,99090,48300,50790,95.1,6312,7481,6444,7113,6997,11462,12159,11440,6300,5980,10169,5564,1669,37.5,24430,74660,70276,21082,17402,36298,38362,94.6,7656,9746,78.6,97005,2085,87214,6278,0,-999999999,-999999999,-999999999,-999999999,890,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,61,-999999999,-999999999,-999999999,-999999999,2562,-999999999,-999999999,-999999999,-999999999,46371,-999999999,-999999999,-999999999,-999999999,71656,34647,37009
Vineland,NJ,149527,77328,72199,107.1,8186,9514,12188,9718,7220,22023,19775,18797,9310,9292,14003,6482,3019,38.1,35556,113971,109010,29250,23504,57937,56034,103.4,10250,13254,77.3,142652,6875,98730,30121,1322,-999999999,-999999999,-999999999,-999999999,1937,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,36,-999999999,-999999999,-999999999,-999999999,10506,1695,11,834,441,47569,16172,26780,253,4364,103230,50434,52796
Virginia Beach,VA,1765031,864601,900430,96,109694,106322,108928,116672,128508,266597,226426,204295,113154,115477,158884,81588,28486,36.8,387046,1377985,1293958,335769,268958,668280,709705,94.2,116645,152313,76.6,1685199,79832,1033525,542108,3418,-999999999,-999999999,-999999999,-999999999,71549,9475,8857,32011,1881,4167,6180,8978,1526,-999999999,-999999999,-999999999,-999999999,33073,30511,8461,17895,4723,126008,37898,34465,6945,46700,1334548,647913,686635
Visalia,CA,466195,232817,233378,99.8,37421,39144,42365,36970,32838,66710,59012,51158,23533,23263,31961,15541,6279,31.4,142252,323943,305157,66717,53781,159795,164148,97.3,24482,29299,83.6,444982,21213,314748,6811,7103,-999999999,-999999999,-999999999,-999999999,16248,892,2139,4420,362,895,1018,6522,862,-999999999,-999999999,-999999999,-999999999,99210,2216,4407,1472,28,305824,289009,1145,231,15439,274023,132220,141803
Waco,TX,270868,132079,138789,95.2,17584,16224,20144,23007,26126,33377,32117,29485,14937,15774,23934,12549,5610,34.7,65200,205668,185708,52053,42093,98187,107481,91.4,18807,23286,80.8,263199,7669,214613,39175,2052,-999999999,-999999999,-999999999,-999999999,3471,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,97,-999999999,-999999999,-999999999,-999999999,3791,2740,1088,1292,443,71775,65086,1698,819,4172,192439,91981,100458
Walla Walla,WA,60760,31601,29159,108.4,3167,2478,4183,5375,4867,7175,7740,6925,4277,3561,6156,3238,1618,38.8,12042,48718,44406,13409,11012,25539,23179,110.2,5069,5943,85.3,57552,3208,49454,395,433,-999999999,-999999999,-999999999,-999999999,932,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,87,-999999999,-999999999,-999999999,-999999999,6251,171,1687,353,128,13167,11505,217,146,1299,45305,24221,21084
Warner Robins,GA,185409,90224,95185,94.8,11297,11942,14619,12586,15482,24152,24359,22527,12435,11278,14449,7545,2738,36.1,45706,139703,129380,30639,24732,65125,74578,87.3,10587,14145,74.8,178355,7054,103232,63599,2161,-999999999,-999999999,-999999999,-999999999,6283,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,3080,-999999999,-999999999,-999999999,-999999999,13271,10278,959,832,1202,135061,63221,71840
Kingsport,TN,307707,149993,157714,95.1,14503,14413,18073,18022,17131,34326,34199,43097,22119,22689,38679,21926,8530,45.9,58574,249133,239574,82825,69135,119324,129809,91.9,30931,38204,81,301672,6035,291756,6250,762,-999999999,-999999999,-999999999,-999999999,1713,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,1191,3040,1546,840,270,4901,3313,462,76,1050,246678,118462,128216
Kingston,NY,177573,87941,89632,98.1,7684,8223,9035,10619,12070,21170,21518,23486,14664,13128,21449,10405,4122,44.3,31015,146558,140251,43248,35976,72049,74509,96.7,15884,20092,79.1,170094,7479,150453,11119,499,-999999999,-999999999,-999999999,-999999999,2922,867,707,151,89,339,42,727,0,-999999999,-999999999,-999999999,-999999999,5101,3019,712,1618,43,18838,4448,8291,909,5190,140594,68744,71850
Klamath Falls,OR,68238,33578,34660,96.9,4049,4738,3725,3193,4054,8672,7826,7665,5029,4517,8900,4368,1502,41.3,14689,53549,52034,17467,14770,26287,27262,96.4,6829,7941,86,65553,2685,59088,365,4028,-999999999,-999999999,-999999999,-999999999,188,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,41,-999999999,-999999999,-999999999,-999999999,1843,-999999999,-999999999,-999999999,-999999999,9397,-999999999,-999999999,-999999999,-999999999,52215,25474,26741
Knoxville,TN,869525,422331,447194,94.4,46478,46393,53496,54117,64035,111419,103376,111307,60412,56837,95521,49213,16921,40.8,178050,691475,655471,192028,161655,333076,358399,92.9,71701,89954,79.7,849514,20011,775816,49702,3902,-999999999,-999999999,-999999999,-999999999,13510,4169,2415,1760,630,1590,834,2112,443,-999999999,-999999999,-999999999,-999999999,6141,9523,2257,3685,1176,36375,18108,1957,2227,14083,673674,323921,349753
Kalamazoo,MI,265066,129184,135882,95.1,16086,14927,16678,18595,32697,34127,32551,27860,14375,16737,23623,11915,4895,34.8,57012,208054,193171,51784,40433,100315,107739,93.1,17501,22932,76.3,252316,12750,211916,31139,521,-999999999,-999999999,-999999999,-999999999,6344,1102,2063,627,417,1063,114,958,0,-999999999,-999999999,-999999999,-999999999,2396,5620,1608,2359,348,13823,8495,923,595,3810,199066,96400,102666
Kalispell,MT,103806,52226,51580,101.3,5466,6683,6328,6454,4322,12378,13517,12581,6559,8590,13186,6089,1653,42.4,22529,81277,78086,26244,20928,40423,40854,98.9,10240,10688,95.8,100755,3051,96995,551,1899,-999999999,-999999999,-999999999,-999999999,910,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,400,-999999999,-999999999,-999999999,-999999999,3130,-999999999,-999999999,-999999999,-999999999,79907,39749,40158
Kankakee,IL,109862,54135,55727,97.1,6334,7207,6732,8211,9149,12314,13231,13457,8590,5921,10406,5763,2547,38.7,24325,85537,79212,21891,18716,42017,43520,96.5,8577,10139,84.6,107980,1882,88698,17177,152,-999999999,-999999999,-999999999,-999999999,709,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0,-999999999,-999999999,-999999999,-999999999,1244,-999999999,-999999999,-999999999,-999999999,11916,-999999999,-999999999,-999999999,-999999999,82577,40442,42135
Kansas City,MO,2155068,1054905,1100163,95.9,137820,140181,150797,137226,126977,303614,288022,265223,140709,137156,192911,96304,38128,37.7,517143,1637925,1565208,406021,327343,792508,845417,93.7,143418,183925,78,2081592,73476,1673601,267402,7213,1815,57,113,664,62508,16365,11554,6203,1835,3666,7921,14964,4931,537,244,2012,2138,65937,27878,14799,14135,2842,200662,142953,10414,5671,41624,1566230,756447,809783
Kapaa,HI,72293,34998,37295,93.8,4181,4614,4433,4116,3494,8035,9940,8598,3803,5812,9058,4108,2101,42.2,15718,56575,54261,18371,15267,27450,29125,94.2,6745,8522,79.1,53779,18514,22554,137,191,-999999999,-999999999,-999999999,-999999999,21926,0,1270,13267,5161,302,0,1926,8227,5555,147,216,2309,744,12,437,5173,0,8213,1907,4124,0,2182,51823,25018,26805
Keene,NH,76085,36982,39103,94.6,3295,3539,4651,5365,5538,9137,7739,9026,5722,6314,9592,3684,2483,43.8,13823,62262,57167,18807,15759,30200,32062,94.2,7191,8568,83.9,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,1505,-999999999,-999999999,-999999999,-999999999,61409,29720,31689
Kennewick,WA,299612,150811,148801,101.4,22420,24348,23599,21412,19073,41312,41535,32266,17710,16094,24882,10594,4367,34.5,84883,214729,204736,48777,39843,107790,106939,100.8,18476,21367,86.5,287732,11880,235798,6419,3245,-999999999,-999999999,-999999999,-999999999,5751,201,546,1979,253,880,744,1148,255,-999999999,-999999999,-999999999,-999999999,36264,1929,2697,4181,0,97211,89730,1005,866,5610,185624,92293,93331
